IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
45.135.235.38,2052,0,false,SJC,North America,San Jose,270,1.75
141.11.203.35,2052,2052,false,SJC,North America,San Jose,253,1.72
154.219.5.151,2052,0,false,SJC,North America,San Jose,208,1.69
45.135.235.59,2052,0,false,SJC,North America,San Jose,213,1.66
185.133.35.193,2052,0,false,SJC,North America,San Jose,263,1.61
45.135.235.231,2052,2052,false,SJC,North America,San Jose,250,1.60
160.123.255.119,2052,0,false,SJC,North America,San Jose,207,1.57
217.163.76.227,2052,0,false,SJC,North America,San Jose,218,1.57
141.11.203.195,2052,0,false,SJC,North America,San Jose,285,1.56
45.67.215.116,2052,0,false,SJC,North America,San Jose,289,1.52
154.197.75.188,2052,0,false,ATL,North America,Atlanta,246,1.48
77.75.199.190,2052,0,false,SJC,North America,San Jose,225,1.47
167.68.11.39,2052,0,false,SJC,North America,San Jose,210,1.46
141.11.202.237,2052,2052,false,SJC,North America,San Jose,241,1.39
154.92.9.6,2082,2082,false,SJC,North America,San Jose,256,1.35
185.133.35.237,2052,0,false,SJC,North America,San Jose,253,1.33
14.102.229.114,2052,0,false,SJC,North America,San Jose,266,1.33
63.141.128.169,2052,0,false,SJC,North America,San Jose,256,1.33
104.129.164.144,2052,0,false,ATL,North America,Atlanta,307,1.32
156.238.19.157,2052,0,false,SJC,North America,San Jose,264,1.30
141.11.203.210,2052,0,false,SJC,North America,San Jose,259,1.29
167.68.5.185,2052,0,false,SJC,North America,San Jose,216,1.28
154.206.12.70,2052,0,false,SJC,North America,San Jose,284,1.25
217.163.76.102,2052,0,false,SJC,North America,San Jose,260,1.23
212.183.88.160,2052,2052,false,SJC,North America,San Jose,259,1.22
216.24.57.87,2052,0,false,SJC,North America,San Jose,224,1.21
14.102.228.122,2052,0,false,SJC,North America,San Jose,242,1.18
206.238.237.164,2052,2052,false,SJC,North America,San Jose,263,1.17
154.197.108.28,2052,0,false,SJC,North America,San Jose,282,1.16
156.238.19.11,2052,0,false,SJC,North America,San Jose,286,1.15
160.79.105.139,2052,0,false,SJC,North America,San Jose,302,1.14
66.81.247.28,2052,0,false,SJC,North America,San Jose,284,1.14
156.229.48.120,2052,0,false,SJC,North America,San Jose,260,1.12
89.116.161.41,2052,0,false,SJC,North America,San Jose,257,1.12
45.67.215.76,2052,0,false,SJC,North America,San Jose,271,1.12
141.11.202.234,2052,2052,false,SJC,North America,San Jose,257,1.12
212.183.88.72,2052,0,false,SJC,North America,San Jose,296,1.12
167.68.5.87,2052,0,false,SJC,North America,San Jose,266,1.11
156.238.18.79,2052,0,false,SJC,North America,San Jose,202,1.11
154.219.5.105,2052,0,false,SJC,North America,San Jose,251,1.11
198.62.62.91,2052,0,false,SJC,North America,San Jose,241,1.09
156.238.19.79,2052,2052,false,SJC,North America,San Jose,226,1.08
154.197.64.30,2052,0,false,ATL,North America,Atlanta,278,1.08
135.84.76.127,2052,0,false,SJC,North America,San Jose,304,1.07
14.102.228.188,2052,0,false,SJC,North America,San Jose,280,1.05
154.197.121.75,2052,0,false,SJC,North America,San Jose,243,1.02
160.123.255.106,2052,2052,false,SJC,North America,San Jose,291,1.02
167.68.11.120,2052,2052,false,SJC,North America,San Jose,304,1.00
14.102.229.197,2052,0,false,SJC,North America,San Jose,264,1.00
77.75.199.19,2052,0,false,SJC,North America,San Jose,277,1.00
188.164.248.219,2052,0,false,ATL,North America,Atlanta,297,0.99
198.62.62.238,2052,2052,false,SJC,North America,San Jose,269,0.96
154.197.88.253,2052,0,false,ATL,North America,Atlanta,276,0.92
194.76.18.164,2052,0,false,SJC,North America,San Jose,256,0.90
188.164.248.78,2052,2052,false,ATL,North America,Atlanta,288,0.89
154.197.75.238,2052,2052,false,ATL,North America,Atlanta,306,0.89
154.194.12.208,2052,0,false,ATL,North America,Atlanta,315,0.89
69.84.182.82,2052,2052,false,SJC,North America,San Jose,172,0.86
154.197.75.124,2052,0,false,ATL,North America,Atlanta,291,0.84
93.113.175.37,2052,0,false,ATL,North America,Atlanta,270,0.82
89.117.112.53,2052,0,false,ATL,North America,Atlanta,311,0.81
93.113.175.83,2052,2052,false,ATL,North America,Atlanta,309,0.79
130.250.137.45,2052,0,false,SJC,North America,San Jose,251,0.79
185.16.110.27,2052,0,false,SJC,North America,San Jose,266,0.78
192.200.160.175,2052,0,false,SJC,North America,San Jose,269,0.74
154.206.12.51,2052,0,false,SJC,North America,San Jose,286,0.74
154.197.88.229,2052,0,false,ATL,North America,Atlanta,305,0.73
154.219.5.230,2052,2052,false,SJC,North America,San Jose,231,0.72
216.24.57.148,2052,2052,false,SJC,North America,San Jose,267,0.71
160.79.105.26,2052,0,false,SJC,North America,San Jose,257,0.71
160.79.104.216,2052,2052,false,SJC,North America,San Jose,239,0.70
